"","stationPlotted","cityName","lon","lat","daysThreshold","nSmoky","smokeOzoneMeans","clearOzoneMeans","differenceOfMeans","signif","confInt_lower","confInt_upper","pValue","tValue"
"1","010730023-01","Birmingham",-86.815,33.553056,10,25,62.4708184241019,48.3058277382292,14.1649906858727,TRUE,8.82053083482068,19.5094505369247,9.88634711116245e-06,5.44328861872783
"2","010731005-01","Not in a city",-87.003611,33.331111,10,42,63.5309086283845,47.7825276649438,15.7483809634407,TRUE,12.4658711565715,19.0308907703099,2.29572843076418e-13,9.61533798131764
"3","010731009-01","Not in a city",-87.305556,33.459722,10,28,61.9551692808253,47.1312716225999,14.8238976582254,TRUE,10.4308892996303,19.2169060168205,9.4768149024734e-08,6.87734772147563
"4","010731010-01","Leeds",-86.549167,33.545278,10,37,57.9789056663017,47.875954093294,10.1029515730077,TRUE,6.00002372757247,14.2058794184429,1.14110654010526e-05,4.96657113568569
"5","010732006-01","Hoover",-86.816667,33.386389,10,35,64.1288781814226,49.2208357919053,14.9080423895173,TRUE,10.5371612588067,19.2789235202279,2.16129662943876e-08,6.88376354053936
"6","010735002-01","Pinson",-86.669167,33.704722,10,27,58.9233210528003,49.8454857832929,9.07783526950742,TRUE,4.10656565721759,14.0491048817972,0.000818045675411935,3.73472712484048
"7","010735003-01","Not in a city",-86.9425,33.801667,10,33,61.6296661465759,48.3463894864565,13.2832766601193,TRUE,9.61134340092337,16.9552099193153,8.83663735327967e-09,7.32231548303211
"8","020900034-01","Fairbanks",-147.727413,64.84569,10,11,32.4628836636634,27.9076036895714,4.55527997409203,FALSE,-1.31524917990132,10.4258091280854,0.116950260024665,1.68619032953694
"9","051190007-01","North Little Rock",-92.281296,34.756189,10,40,58.874489573409,48.8042172280032,10.0702723454058,TRUE,6.43762423683457,13.7029204539771,9.6922800595349e-07,5.56494136277819
"10","060010007-01","Livermore",-121.784217,37.687526,10,31,57.9623993328231,46.7311155075213,11.2312838253018,TRUE,4.49724771417778,17.9653199364257,0.00184617571185608,3.39885705584313
"11","060012004-01","Berkeley",-122.30129,37.877794,10,20,26.0477191075272,23.9653989678368,2.08232013969039,FALSE,-1.50275746041155,5.66739773979232,0.240504361415263,1.2079450554593
"12","060070008-01","Chico",-121.84162,39.761538,10,20,56.2856598786176,52.3127066417703,3.97295323684731,TRUE,0.0796187572676108,7.86628771642701,0.0458607818797799,2.11330818572
"13","060195001-01","Clovis",-119.717356,36.819111,10,17,94.2061483257282,76.2789622001551,17.927186125573,TRUE,9.39651952349802,26.457852727648,0.000373251392664619,4.43953148175466
"14","060290014-01","Bakersfield",-119.041209,35.356092,10,31,77.1081719576963,71.7890026665454,5.31916929115091,FALSE,-1.35156089787365,11.9898994801755,0.114057499644194,1.62555284038383
"15","060310004-01","Corcoran",-119.566954,36.10218,10,11,95.2366060350805,69.1497155541972,26.0868904808833,TRUE,18.307425537044,33.8663554247227,9.29524656868533e-06,7.30428692561612
"16","060370016-01","Glendora",-117.85036,34.14435,10,19,70.8722126394039,68.6517047310881,2.22050790831584,FALSE,-7.77463332554719,12.2156491421789,0.647351729644873,0.464753053661659
"17","060376012-01","Santa Clarita",-118.5284,34.38344,10,15,76.9661862740907,73.3149676642551,3.65121860983564,FALSE,-6.88001464399762,14.1824518636689,0.470861828597841,0.740097797927288
"18","060550003-01","Napa",-122.296189,38.310942,10,34,39.3012711508757,37.2316502633648,2.06962088751087,FALSE,-0.979199539225094,5.11844131424684,0.177330644625405,1.37495152263431
"19","060590007-01","Anaheim",-117.93845,33.83062,10,13,52.0164664410256,48.2835939684346,3.73287247259097,FALSE,-2.98943576080548,10.4551807059874,0.250771817807409,1.20414798186458
"20","060610006-01","Roseville",-121.266312,38.745726,10,39,72.8366991642046,64.8006602066065,8.03603895759815,TRUE,1.91421113601679,14.1578667791795,0.011360597468658,2.65144714285914
"21","060650012-01","Banning",-116.85841,33.92086,10,11,83.4681084552778,74.5321700871217,8.93593836815604,FALSE,-2.61749544697406,20.4893721832862,0.115837585953162,1.71820959366291
"22","060659001-01","Lake Elsinore",-117.33098,33.67649,10,15,73.2734901114343,67.7647407731876,5.50874933824667,FALSE,-1.40117533322974,12.4186740097231,0.109898280627364,1.69949612860823
"23","060670006-01","Arden-Arcade",-121.368014,38.613779,10,17,67.7332778843698,60.7926775056711,6.94060037869877,FALSE,-0.267859396879992,14.1490601542775,0.0581388759042432,2.03300051804974
"24","060670010-01","Sacramento",-121.492981,38.558228,10,42,64.0788527625074,55.1181849262372,8.9606678362702,TRUE,4.33140625218284,13.5899294203576,0.000318706778749777,3.89831590597061
"25","060710005-01","Crestline",-117.27235,34.2431,10,10,91.6256463937199,80.7941904214185,10.8314559723014,TRUE,3.03235052470524,18.6305614198975,0.0111692079018984,3.07828551329065
"26","060719002-01","Not in a city",-116.38893,34.06957,10,10,77.8582690240544,72.1106826936173,5.74758633043707,FALSE,-2.33859211739431,13.8337647782685,0.142899983930231,1.60080754745725
"27","060750005-01","San Francisco",-122.399044,37.765946,10,24,30.5600279853292,26.3504918858894,4.20953609943981,TRUE,0.638154449246759,7.78091774963286,0.0228205053281545,2.43323029913648
"28","060773005-01","Tracy",-121.443324,37.682512,10,44,68.8067139926651,61.0022217548401,7.80449223782506,TRUE,3.23671093721983,12.3722735384303,0.00122359634378325,3.43411485046322
"29","060811001-01","Redwood City",-122.20337,37.482934,10,26,34.0971408630874,29.8634563853182,4.23368447776924,TRUE,1.15995264057945,7.30741631495903,0.00870840253954451,2.82247469418041
