"","stationPlotted","cityName","lon","lat","daysThreshold","nSmoky","smokeOzoneMeans","clearOzoneMeans","differenceOfMeans","signif","confInt_lower","confInt_upper","pValue","tValue"
"1","010730023-01","Birmingham",-86.815,33.553056,10,25,62.4708184241019,57.6708638470743,4.79995457702762,FALSE,-1.82324177186336,11.4231509259186,0.152139902481453,1.45179482071387
"2","010731005-01","Not in a city",-87.003611,33.331111,10,42,63.5309086283845,50.5657102957314,12.9651983326531,TRUE,7.29121467990292,18.6391819854032,1.87081434866072e-05,4.54571386991942
"3","010731009-01","Not in a city",-87.305556,33.459722,10,28,61.9551692808253,56.2775225271028,5.67764675372246,FALSE,-1.06006501717745,12.4153585246224,0.0971000657474685,1.68491040362302
"4","010731010-01","Leeds",-86.549167,33.545278,10,37,57.9789056663017,57.941701951215,0.0372037150867186,FALSE,-7.52726350731891,7.60167093749235,0.992091036458286,0.00998341234872291
"5","010732006-01","Hoover",-86.816667,33.386389,10,35,64.1288781814226,63.3240077183122,0.804870463110362,FALSE,-6.29393178449271,7.90367271071343,0.820949296564638,0.227459241872861
"6","010735002-01","Pinson",-86.669167,33.704722,10,27,58.9233210528003,57.4958514661505,1.42746958664974,FALSE,-4.49050836253687,7.34544753583635,0.630829807125816,0.483214829122778
"7","010735003-01","Not in a city",-86.9425,33.801667,10,33,61.6296661465759,55.1276139040909,6.502052242485,TRUE,1.17212065143841,11.8319838335316,0.0174823664725229,2.43019644804343
"8","020900034-01","Fairbanks",-147.727413,64.84569,10,11,32.4628836636634,34.2747537436468,-1.81187007998339,FALSE,-8.107035845048,4.48329568508121,0.552553986257746,-0.605483110578023
"9","051130003-01","Mena",-94.143316,34.454406,10,19,57.6983540325166,56.0572616967955,1.64109233572113,FALSE,-5.18988638281085,8.47207105425311,0.622885108083306,0.498957402861593
"10","051190007-01","North Little Rock",-92.281296,34.756189,10,40,58.874489573409,58.9964599343691,-0.12197036096012,FALSE,-4.94385376234308,4.69991304042284,0.960034898432352,-0.0502485644824261
"11","060010007-01","Livermore",-121.784217,37.687526,10,31,57.9623993328231,64.8090497669545,-6.84665043413143,FALSE,-14.0297300779612,0.336429209698379,0.0612061207455118,-1.92345288179272
"12","060012004-01","Berkeley",-122.30129,37.877794,10,20,26.0477191075272,27.2524363262443,-1.2047172187171,FALSE,-5.67014842728728,3.26071398985308,0.588792567595461,-0.544882371043856
"13","060070008-01","Chico",-121.84162,39.761538,10,20,56.2856598786176,56.2210598134337,0.0646000651839671,FALSE,-4.23032051843592,4.35952064880385,0.975799518823248,0.0305576251111127
"14","060111002-01","Colusa",-122.017728,39.202935,10,46,57.5391020302729,52.7354457543594,4.80365627591345,TRUE,1.43824151077995,8.16907104104694,0.00572988796024967,2.84208326612846
"15","060195001-01","Clovis",-119.717356,36.819111,10,17,94.2061483257282,85.5182299567465,8.68791836898163,FALSE,-0.00256435247262873,17.3784010904359,0.0500609575716077,2.09593862847029
"16","060210003-01","Not in a city",-122.191903,39.533761,10,43,55.3026830631845,51.7953901462952,3.50729291688927,FALSE,-0.0395125451212198,7.05409837889976,0.0525504091651644,1.96536083081705
"17","060290014-01","Bakersfield",-119.041209,35.356092,10,31,77.1081719576963,77.6783911778285,-0.570219220132202,FALSE,-7.47981353916218,6.33937509889777,0.868100176359058,-0.167233688020819
"18","060310004-01","Corcoran",-119.566954,36.10218,10,11,95.2366060350805,81.2753186528256,13.9612873822549,TRUE,5.75620121842111,22.1663735460887,0.00245048188770358,3.62112401591041
"19","060370016-01","Glendora",-117.85036,34.14435,10,19,70.8722126394039,80.9702593912083,-10.0980467518044,FALSE,-20.2856477218233,0.0895542182144499,0.0518693625268909,-2.06026873146274
"20","060376012-01","Santa Clarita",-118.5284,34.38344,10,15,76.9661862740907,80.2883580836617,-3.32217180957102,FALSE,-14.215568357101,7.57122473795895,0.529699607510947,-0.640889699158176
"21","060430003-01","Not in a city",-119.7062,37.71325,10,21,70.2386265958894,67.1465328799034,3.09209371598604,FALSE,-2.12559353349087,8.30978096546294,0.2335627751381,1.22100835089906
"22","060550003-01","Napa",-122.296189,38.310942,10,34,39.3012711508757,49.279254704588,-9.97798355371231,TRUE,-13.8272896622573,-6.12867744516729,1.63416876933468e-06,-5.15385015578758
"23","060590007-01","Anaheim",-117.93845,33.83062,10,13,52.0164664410256,54.2211601282708,-2.20469368724518,FALSE,-9.07882533529096,4.66943796080061,0.503745039745283,-0.685654486340306
"24","060610006-01","Roseville",-121.266312,38.745726,10,39,72.8366991642046,72.7753228870167,0.0613762771879607,FALSE,-6.69443690210919,6.81718945648511,0.985560550230103,0.0181740271102052
"25","060650012-01","Banning",-116.85841,33.92086,10,11,83.4681084552778,77.0782095562562,6.38989889902162,FALSE,-5.31490515022027,18.0947029482635,0.255659643692338,1.19719640900951
"26","060659001-01","Lake Elsinore",-117.33098,33.67649,10,15,73.2734901114343,72.9058933223989,0.367596789035389,FALSE,-6.67800994911081,7.41320352718159,0.913572227777987,0.110180485006628
"27","060670006-01","Arden-Arcade",-121.368014,38.613779,10,17,67.7332778843698,71.0869546154822,-3.35367673111234,FALSE,-11.1791784809296,4.47182501870493,0.386174032393848,-0.881672981130668
"28","060670010-01","Sacramento",-121.492981,38.558228,10,42,64.0788527625074,62.4781474993995,1.60070526310793,FALSE,-3.75729587181952,6.95870639803539,0.55361916784674,0.594977967162926
"29","060690003-01","Not in a city",-121.15688,36.48324,10,12,63.7158496906365,62.4071729028545,1.30867678778197,FALSE,-6.80050674760543,9.41786032316936,0.731859679515073,0.350511448129128
