"","stationPlotted","cityName","lon","lat","daysThreshold","nSmoky","smokeOzoneMeans","clearOzoneMeans","differenceOfMeans","signif","confInt_lower","confInt_upper","pValue","tValue"
"1","010730023-01","Birmingham",-86.815,33.553056,10,25,62.4708184241019,50.2974628246088,12.1733555994931,TRUE,6.75082197653937,17.5958892224468,8.12965203660506e-05,4.59563881102007
"2","010731005-01","Not in a city",-87.003611,33.331111,10,42,63.5309086283845,48.0952524085421,15.4356562198424,TRUE,12.0304239254646,18.8408885142202,4.53417684973308e-13,9.05560017539095
"3","010731009-01","Not in a city",-87.305556,33.459722,10,28,61.9551692808253,47.0694955383633,14.885673742462,TRUE,10.4411155403967,19.3302319445273,8.60908574614542e-08,6.81150360659524
"4","010731010-01","Leeds",-86.549167,33.545278,10,37,57.9789056663017,51.0672046372893,6.91170102901243,TRUE,2.63889203206791,11.1845100259569,0.00206153436406294,3.2474704623748
"5","010732006-01","Hoover",-86.816667,33.386389,10,35,64.1288781814226,51.0251314922233,13.1037466891994,TRUE,8.62732516265071,17.580168215748,4.07209857575403e-07,5.89052450362868
"6","010735002-01","Pinson",-86.669167,33.704722,10,27,58.9233210528003,50.856427058982,8.06689399381828,TRUE,3.06396847954197,13.0698195080946,0.00254887454886252,3.29353040676417
"7","010735003-01","Not in a city",-86.9425,33.801667,10,33,61.6296661465759,49.4655588055708,12.1641073410051,TRUE,8.37722494488612,15.950989737124,6.90845189979759e-08,6.47464449984739
"8","020900034-01","Fairbanks",-147.727413,64.84569,10,11,32.4628836636634,30.4263651722462,2.03651849141717,FALSE,-3.96662656649068,8.03966354932502,0.479155876596788,0.726874162991514
"9","051190007-01","North Little Rock",-92.281296,34.756189,10,40,58.874489573409,51.4112487188362,7.46324085457282,TRUE,3.75228646024704,11.1741952488986,0.000170754770179527,4.02885313166562
"10","060010007-01","Livermore",-121.784217,37.687526,10,31,57.9623993328231,52.5861323894845,5.37626694333855,FALSE,-1.44537185681084,12.1979057434879,0.118439171661232,1.60233948415384
"11","060012004-01","Berkeley",-122.30129,37.877794,10,20,26.0477191075272,23.6639935607252,2.38372554680197,FALSE,-1.25306509325583,6.02051618685977,0.188108413348436,1.35723868062943
"12","060070008-01","Chico",-121.84162,39.761538,10,20,56.2856598786176,53.4365448383806,2.84911504023707,FALSE,-1.04259672422465,6.74082680469878,0.143360380692756,1.51634251929441
"13","060195001-01","Clovis",-119.717356,36.819111,10,17,94.2061483257282,78.4947617534908,15.7113865722374,TRUE,7.12593271416628,24.2968404303085,0.00122987243586668,3.85520729944961
"14","060290014-01","Bakersfield",-119.041209,35.356092,10,31,77.1081719576963,73.0344476129146,4.07372434478164,FALSE,-2.63513834248481,10.7825870320481,0.225197494932637,1.23654620267709
"15","060310004-01","Corcoran",-119.566954,36.10218,10,11,95.2366060350805,69.3123848735569,25.9242211615237,TRUE,18.0207395190323,33.8277028040151,7.37517935427725e-06,7.06892893769362
"16","060370016-01","Glendora",-117.85036,34.14435,10,19,70.8722126394039,72.1462475899768,-1.27403495057294,FALSE,-11.3773052739989,8.82923537285301,0.795348967625314,-0.262809148138741
"17","060376012-01","Santa Clarita",-118.5284,34.38344,10,15,76.9661862740907,73.3594937202838,3.60669255380691,FALSE,-6.97244846293835,14.1858335705522,0.478901677533859,0.725993139886564
"18","060550003-01","Napa",-122.296189,38.310942,10,34,39.3012711508757,40.0819577586135,-0.78068660773782,FALSE,-3.93103370886482,2.36966049338918,0.619856609487008,-0.499637606624103
"19","060590007-01","Anaheim",-117.93845,33.83062,10,13,52.0164664410256,48.729139465044,3.28732697598158,FALSE,-3.44630477765903,10.0209587296222,0.310072348659019,1.05735197852528
"20","060610006-01","Roseville",-121.266312,38.745726,10,39,72.8366991642046,66.5858760710771,6.25082309312751,TRUE,0.0759088251056657,12.4257373611493,0.0473707389825159,2.04231352399083
"21","060650012-01","Banning",-116.85841,33.92086,10,11,83.4681084552778,75.4318852917858,8.03622316349197,FALSE,-3.5288470711588,19.6012933981427,0.153196798952639,1.54193115171328
"22","060659001-01","Lake Elsinore",-117.33098,33.67649,10,15,73.2734901114343,67.6430353122138,5.63045479922047,FALSE,-1.29865238973299,12.5595619881739,0.103892342507632,1.7297050084493
"23","060670006-01","Arden-Arcade",-121.368014,38.613779,10,17,67.7332778843698,64.4744346052561,3.25884327911373,FALSE,-4.01023979895445,10.5279263571819,0.358303706380724,0.943214677161295
