"","stationPlotted","cityName","lon","lat","daysThreshold","nSmoky","smokeOzoneMeans","clearOzoneMeans","differenceOfMeans","signif","confInt_lower","confInt_upper","pValue","tValue"
"1","010731005-01","Not in a city",-87.003611,33.331111,30,42,63.5309086283845,50.5657102957314,12.9651983326531,TRUE,7.29121467990292,18.6391819854032,1.87081434866072e-05,4.54571386991942
"2","010735003-01","Not in a city",-86.9425,33.801667,30,33,61.6296661465759,55.1276139040909,6.502052242485,TRUE,1.17212065143841,11.8319838335316,0.0174823664725229,2.43019644804343
"3","051190007-01","North Little Rock",-92.281296,34.756189,30,40,58.874489573409,58.9964599343691,-0.12197036096012,FALSE,-4.94385376234308,4.69991304042284,0.960034898432352,-0.0502485644824261
"4","060010007-01","Livermore",-121.784217,37.687526,30,31,57.9623993328231,64.8090497669545,-6.84665043413143,FALSE,-14.0297300779612,0.336429209698379,0.0612061207455118,-1.92345288179272
"5","060111002-01","Colusa",-122.017728,39.202935,30,46,57.5391020302729,52.7354457543594,4.80365627591345,TRUE,1.43824151077995,8.16907104104694,0.00572988796024967,2.84208326612846
"6","060210003-01","Not in a city",-122.191903,39.533761,30,43,55.3026830631845,51.7953901462952,3.50729291688927,FALSE,-0.0395125451212198,7.05409837889976,0.0525504091651644,1.96536083081705
"7","060290014-01","Bakersfield",-119.041209,35.356092,30,31,77.1081719576963,77.6783911778285,-0.570219220132202,FALSE,-7.47981353916218,6.33937509889777,0.868100176359058,-0.167233688020819
"8","060550003-01","Napa",-122.296189,38.310942,30,34,39.3012711508757,49.279254704588,-9.97798355371231,TRUE,-13.8272896622573,-6.12867744516729,1.63416876933468e-06,-5.15385015578758
"9","060610006-01","Roseville",-121.266312,38.745726,30,39,72.8366991642046,72.7753228870167,0.0613762771879607,FALSE,-6.69443690210919,6.81718945648511,0.985560550230103,0.0181740271102052
"10","060670010-01","Sacramento",-121.492981,38.558228,30,42,64.0788527625074,62.4781474993995,1.60070526310793,FALSE,-3.75729587181952,6.95870639803539,0.55361916784674,0.594977967162926
"11","060773005-01","Tracy",-121.443324,37.682512,30,44,68.8067139926651,69.180427615139,-0.373713622473829,FALSE,-5.2985271624886,4.55109991754095,0.880039018065927,-0.151505298696695
"12","060850005-01","San Jose",-121.894898,37.348497,30,36,44.0299594486053,49.7504115797545,-5.72045213114923,TRUE,-10.1360776335188,-1.30482662877965,0.0117173925839195,-2.57508340722834
"13","061010003-01","Yuba City",-121.618549,39.138773,30,38,55.2873769956364,57.6031689425804,-2.31579194694394,FALSE,-7.63846457591235,3.00688068202448,0.388242146315702,-0.868481456108393
"14","061072002-01","Visalia",-119.291228,36.332179,30,43,80.868974177344,78.4805811354056,2.38839304193833,FALSE,-3.60431422169826,8.38110030557492,0.426988337310439,0.801068562653702
"15","061130004-01","Not in a city",-121.7734,38.53445,30,46,56.9236215316591,56.8637683063485,0.0598532253105759,FALSE,-6.00603510345788,6.12574155407903,0.984345216462014,0.0196950031247037
"16","110010043-01","Washington",-77.013178,38.921847,30,30,70.0157553807033,69.5336497918078,0.482105588895521,FALSE,-4.20632656789676,5.1705377456878,0.837906141765577,0.205402358399573
"17","120013011-01","Micanopy",-82.296111,29.544722,30,43,50.379495412327,35.9513722150069,14.4281231973202,TRUE,10.2670792741282,18.5891671205121,4.66074951607071e-10,6.87573180073416
"18","120230002-01","Lake City",-82.619167,30.178056,30,46,50.2816358825713,40.6805420924612,9.60109379011006,TRUE,5.94828020265351,13.2539073775666,8.33965051145934e-07,5.20522041646873
"19","120310100-01","Jacksonville",-81.454,30.261,30,35,56.7978202665897,46.9037320751661,9.8940881914236,TRUE,3.40875204491118,16.379424337936,0.00333198871468045,3.04602228026962
"20","120330004-01","Ferry Pass",-87.20355,30.525367,30,38,62.2802227265573,51.3987736433224,10.8814490832349,TRUE,5.61506359763663,16.1478345688332,9.95199623949715e-05,4.11794860731413
"21","120590004-01","Not in a city",-85.603889,30.848611,30,39,53.9282287612321,44.7679176574374,9.16031110379478,TRUE,4.71063707641197,13.6099851311776,9.97308176735743e-05,4.09691749778032
"22","120730012-01","Tallahassee",-84.346389,30.439722,30,39,55.6383030529371,39.5063544439445,16.1319486089927,TRUE,12.4649165147882,19.7989807031971,1.05720203618799e-13,8.73752961530906
"23","120830003-01","Ocala",-82.100833,29.170278,30,30,52.3931577531869,40.5325868758236,11.8605708773633,TRUE,7.16860899259424,16.5525327621324,3.82959069745087e-06,5.04827051832829
"24","120952002-01","Winter Park",-81.3625,28.596389,30,32,57.8338107404231,43.7271727944436,14.1066379459795,TRUE,8.56100682042822,19.6522690715308,3.90787371329709e-06,5.08973994019197
"25","132450091-01","Augusta-Richmond County (Remainder)",-82.022217,33.433349,30,44,64.278070901004,55.2533154778994,9.0247554231046,TRUE,2.81924930943624,15.230261536773,0.00520804902175505,2.91988458701653
"26","170310001-01","Alsip",-87.732457,41.670992,30,63,60.1435738944427,61.0529584915931,-0.909384597150385,FALSE,-4.75425570888506,2.93548651458429,0.64010299152065,-0.468894800623799
"27","171150013-01","Decatur",-88.925594,39.866834,30,57,58.9682877894912,55.143952983953,3.82433480553818,FALSE,-0.211616442954487,7.86028605403085,0.0630399230318789,1.87870421185935
"28","171630010-02","East Saint Louis",-90.160477,38.612034,30,38,58.7900066403001,62.9104718643203,-4.12046522402018,FALSE,-9.19313202612903,0.952201578088669,0.11002551953691,-1.61472600674482
"29","180890022-01","Gary",-87.304729,41.60668,30,30,57.3333173408274,54.3057479758048,3.02756936502262,FALSE,-2.18722101758529,8.24235974763053,0.249689431837981,1.16331535422005
"30","191370002-01","Not in a city",-95.044951,40.969112,30,70,48.5602289119879,51.3867255888078,-2.82649667681994,FALSE,-6.69455053249261,1.04155717885274,0.149155946435502,-1.46060390123811
"31","191471002-01","Emmetsburg",-94.693518,43.123704,30,55,50.9888134699302,52.0282577385869,-1.03944426865663,FALSE,-4.70553048356285,2.62664194624959,0.574508088224181,-0.563555616057674
"32","191530030-01","Des Moines",-93.643118,41.603159,30,78,48.1912618853083,51.0835678689855,-2.89230598367714,FALSE,-5.90330153864693,0.118689571292651,0.0594936216886679,-1.91318968395501
"33","191630015-01","Davenport",-90.587611,41.530011,30,53,54.8186202154323,52.3578040076033,2.46081620782903,FALSE,-1.14691408718532,6.06854650284338,0.177677353354278,1.36335051677994
"34","202090021-01","Kansas City",-94.635605,39.117219,30,67,55.1174972099666,58.7315585916172,-3.6140613816506,FALSE,-7.98790470187113,0.759781938569926,0.104348424384268,-1.63813772220499
"35","210190017-01","Ashland",-82.64041,38.45934,30,44,54.2176237233449,54.8289041012367,-0.611280377891752,FALSE,-5.87717181487226,4.65461105908876,0.818193398893232,-0.230521688327609
"36","210670012-01","Lexington-Fayette (corporate name for Lexington)",-84.49761,38.06503,30,45,59.9057806273094,59.4617705109186,0.444010116390814,FALSE,-3.78765669370144,4.67567692648307,0.835495098905246,0.208210194989608
"37","211451024-01","Paducah",-88.57251,37.05822,30,43,59.945128170081,62.3479572701732,-2.40282910009213,FALSE,-8.74282950951831,3.93717130933405,0.452715104102786,-0.754750834873002
"38","211950002-01","Pikeville",-82.53532,37.4826,30,32,53.2630875660659,57.0630923463472,-3.80000478028128,FALSE,-10.405207308486,2.80519774792345,0.25406955639872,-1.15225524500341
"39","212270008-01","Oakland",-86.250628,37.035438,30,35,59.2650163726618,53.1329326319842,6.13208374067756,TRUE,1.83075005709808,10.433417424257,0.00572172701183302,2.83367969073095
"40","220150008-02","Shreveport",-93.74891,32.53626,30,43,59.7347618728836,55.9410048612523,3.79375701163134,FALSE,-1.09197110377844,8.67948512704113,0.126514031622331,1.54147991472955
"41","220190008-01","Westlake (RR name West Lake)",-93.284167,30.261667,30,43,49.7987453681455,48.0636522046385,1.73509316350701,FALSE,-4.32531683833646,7.79550316535048,0.570366145503432,0.569905845182134
"42","220511001-02","Kenner",-90.275091,30.043573,30,43,56.1066267088538,53.2049395211742,2.90168718767959,FALSE,-3.17321047450231,8.97658484986149,0.344791255028442,0.950236287299546
"43","250154002-01","Ware (census name for Ware Center)",-72.334079,42.298493,30,41,62.4180716882863,54.5526205820527,7.86545110623364,TRUE,1.88394263022149,13.8469595822458,0.0106519209576184,2.61960948033592
"44","261630001-02","Allen Park",-83.2082,42.22862,30,44,58.9061190130998,53.7694007399167,5.13671827318305,FALSE,-0.915289658189882,11.188726204556,0.0949588098283055,1.69234207151766
"45","270031002-01","Blaine",-93.207615,45.13768,30,48,52.1714987422325,55.6460813206312,-3.47458257839867,TRUE,-6.53388777510293,-0.415277381694424,0.0264615685309237,-2.25574574092538
"46","270052013-01","Detroit Lakes",-95.846272,46.851811,30,54,46.9221341508771,52.3981124478954,-5.47597829701829,TRUE,-8.64712538632315,-2.30483120771342,0.000869908980142396,-3.42136854482634
