"","stationPlotted","cityName","lon","lat","daysThreshold","nSmoky","smokeOzoneMeans","clearOzoneMeans","differenceOfMeans","signif","confInt_lower","confInt_upper","pValue","tValue"
"61","120571065-01","Tampa",-82.538611,27.892222,10,18,61.2315516740787,41.1676121171129,20.0639395569658,TRUE,12.4249109862398,27.7029681276918,3.32653811130892e-05,5.52997016310139
"62","120573002-01","Valrico",-82.2304,27.96565,10,18,54.2257728851023,41.6815764343654,12.5441964507369,TRUE,4.43829728660575,20.650095614868,0.00450854511433583,3.25933214057424
"63","120590004-01","Not in a city",-85.603889,30.848611,10,39,53.9282287612321,41.5504019520139,12.3778268092183,TRUE,9.56769103768784,15.1879625807487,7.80161564308117e-12,8.84511535063651
"64","120730012-01","Tallahassee",-84.346389,30.439722,10,39,55.6383030529371,39.1833561260236,16.4549469269135,TRUE,13.4184567840953,19.4914370697318,2.03112810093402e-14,10.9041579731088
"65","120830003-01","Ocala",-82.100833,29.170278,10,30,52.3931577531869,38.0903157779262,14.3028419752606,TRUE,10.3644628837044,18.2412210668168,1.1116493209998e-08,7.36606194168497
"66","120850007-01","Stuart",-80.240689,27.172458,10,11,55.2464604157439,30.8310754871827,24.4153849285611,TRUE,17.4189246466789,31.4118452104433,1.11394215511979e-05,7.71042574057993
"67","120952002-01","Winter Park",-81.3625,28.596389,10,32,57.8338107404231,39.8453305834648,17.9884801569583,TRUE,13.176306779481,22.8006535344357,8.07653159761844e-09,7.59751258609923
"68","120990009-01","Royal Palm Beach",-80.233889,26.730833,10,10,57.4907154070763,28.0485278643853,29.442187542691,TRUE,23.3294704183053,35.5549046670768,1.07435157329989e-06,10.785817217856
"69","121030018-01","Saint Petersburg",-82.739875,27.785866,10,26,50.4748313863786,36.1584103420726,14.316421044306,TRUE,9.08599315613879,19.5468489324732,6.35999468611676e-06,5.6242708408669
"70","121035002-01","Tarpon Springs",-82.700833,28.09,10,27,50.6197708079049,34.7341727695509,15.885598038354,TRUE,10.5446691808942,21.2265268958138,1.52089798607909e-06,6.09782661161027
"71","121056006-01","Lakeland",-81.972222,28.028889,10,23,54.0234348416144,41.2051767302451,12.8182581113693,TRUE,5.9010663231684,19.7354498995702,0.000828256565709298,3.82710154333619
"72","121111002-01","Fort Pierce",-80.40833,27.448889,10,19,49.7918088774494,30.6338425618788,19.1579663155705,TRUE,12.5109494544357,25.8049831767054,8.3198305263014e-06,6.03160351346751
"73","121130015-01","Gulf Breeze",-87.008033,30.394133,10,37,57.7673894845437,47.3122525724149,10.4551369121288,TRUE,5.17810015393001,15.7321736703275,0.000258175457324287,4.00160469714413
"74","121152002-01","Venice",-82.362583,27.089194,10,16,50.2673285945771,33.9284085281295,16.3389200664476,TRUE,8.03497361688633,24.6428665160089,0.00076552670159353,4.18767894173542
"75","121275002-01","Daytona Beach",-81.0525,29.206667,10,21,55.8263101171663,35.5109252260064,20.3153848911599,TRUE,16.1977401484872,24.4330296338325,4.31250200205903e-10,10.1954057896387
"76","121290001-01","Saint Marks",-84.161111,30.0925,10,13,49.7388323215787,37.5707537075861,12.1680786139926,TRUE,3.27627042009299,21.0598868078922,0.0113470737458404,2.97326029769966
"77","130210012-01","Macon",-83.543521,32.805408,10,44,66.4411663098949,55.1098450308677,11.3313212790272,TRUE,8.07492009654499,14.5877224615093,2.12177804506288e-09,6.94931534883685
"78","130590002-01","Athens-Clarke County (Remainder)",-83.344495,33.918067,10,41,62.7984036173816,56.3133886601597,6.48501495722187,TRUE,2.80441919022626,10.1656107242175,0.000883786182553654,3.5402456471229
"79","130770002-01","Not in a city",-84.745988,33.40404,10,27,60.8040671450176,51.7677059665166,9.03636117850106,TRUE,3.9125349319594,14.1601874250427,0.00111799605516856,3.59998345397798
"80","130890002-01","Not in a city",-84.29048,33.68797,10,20,71.0802218184271,61.7796260026867,9.30059581574043,TRUE,2.89887008110666,15.7023215503742,0.00634881450352683,3.0087069947184
"81","131210055-01","Atlanta",-84.357056,33.720192,10,29,69.5492830274539,61.8236584832894,7.72562454416448,TRUE,2.01164078037871,13.4396083079503,0.00961485874997977,2.7533665805992
"82","131350002-01","Not in a city",-84.06901,33.96127,10,39,65.7140926823132,58.9099890576462,6.80410362466691,TRUE,2.84668858295094,10.7615186663829,0.00115749265806664,3.45766968215306
"83","131510002-01","McDonough",-84.161708,33.433575,10,37,66.5483621910216,58.7974897530569,7.75087243796472,TRUE,2.55755339454463,12.9441914813848,0.00432672886361936,3.00675809379359
"84","132130003-01","Chatsworth",-84.626422,34.785197,10,10,57.9140865818952,55.8544449345455,2.05964164734969,FALSE,-3.03970957034741,7.1589928650468,0.39202888325615,0.891930807129683
"85","132150008-01","Columbus (Remainder)",-84.944795,32.521302,10,37,60.4231887660753,49.2701253749166,11.1530633911586,TRUE,8.30576796239252,14.0003588199248,1.99182920234458e-10,7.85820812278824
"86","132230003-01","Not in a city",-85.04534,33.9285,10,50,63.6001293905241,53.8058509878628,9.79427840266133,TRUE,6.773338704846,12.8152181004767,6.47029534853609e-09,6.4453713087797
"87","132450091-01","Augusta-Richmond County (Remainder)",-82.022217,33.433349,10,44,64.278070901004,53.2560032610317,11.0220676399723,TRUE,7.50651370647654,14.5376215734681,5.12775968816436e-08,6.27917207201718
"88","160010010-01","Not in a city",-116.347853,43.600699,10,18,53.5856601403228,53.4937122864022,0.0919478539206224,FALSE,-5.49011597212194,5.67401167996318,0.97274936124935,0.0346460057470071
"89","160230101-01","Not in a city",-113.562222,43.460556,10,19,57.5460119871315,52.7507866464537,4.79522534067776,TRUE,1.91582463171955,7.67462604963597,0.00243495365871742,3.47971895892426
"90","170310001-01","Alsip",-87.732457,41.670992,10,63,60.1435738944427,53.5905593481776,6.55301454626511,TRUE,3.63391008766662,9.4721190048636,2.49821014308674e-05,4.46476099028881
"91","170310076-01","Chicago",-87.713488,41.7514,10,60,60.5169862083649,53.2033229383319,7.31366327003299,TRUE,4.32057858626592,10.3067479538001,5.80872794911331e-06,4.86425370261303
"92","170314201-01","Northbrook",-87.799227,42.139996,10,52,61.4493697443954,55.6878182439036,5.76155150049179,TRUE,2.21545688480766,9.30764611617592,0.00183979885931717,3.24224372587584
"93","170314201-02","Northbrook",-87.799227,42.139996,10,17,47.3024692095015,43.7291181438468,3.57335106565466,FALSE,-0.80383609882941,7.95053823013874,0.105239739708213,1.67962135513645
"94","170650002-01","Not in a city",-88.624943,38.082155,10,11,62.9159390622779,53.1010118893733,9.81492717290465,TRUE,2.95439775892826,16.675456586881,0.00950153836563613,3.1703205258337
"95","171110001-01","Cary",-88.242207,42.221442,10,63,57.2574683252937,50.4081923615519,6.84927596374181,TRUE,4.20664942705337,9.49190250043026,1.55884740994239e-06,5.15030741630865
"96","171150013-01","Decatur",-88.925594,39.866834,10,57,58.9682877894912,52.8326426577502,6.13564513174098,TRUE,2.9379331067642,9.33335715671776,0.000279403911972943,3.82692521289875
"97","171630010-02","East Saint Louis",-90.160477,38.612034,10,38,58.7900066403001,56.5115929535215,2.27841368677863,FALSE,-1.89462985512395,6.45145722868121,0.277748926677091,1.09790205270879
"98","171971011-01","Braidwood",-88.190967,41.221537,10,18,50.4141448953976,46.953489895249,3.46065500014862,FALSE,-1.36470009671506,8.2860100970123,0.149221691644182,1.5067849315055
"99","180030004-01","Fort Wayne",-85.101816,41.094965,10,14,63.8412606907192,54.0188873508595,9.82237333985967,TRUE,2.31656603332042,17.3281806463989,0.0141420075403109,2.81771520771987
"100","180431004-01","New Albany",-85.834167,38.308056,10,10,67.0243843169229,59.4829102847695,7.54147403215337,FALSE,-2.60166163439181,17.6846096986985,0.127793815844009,1.66826483568715
"101","180890022-01","Gary",-87.304729,41.60668,10,30,57.3333173408274,49.1816180663709,8.15169927445653,TRUE,3.55174304391136,12.7516555050017,0.00100884460568119,3.60391235111915
"102","181630012-01","Evansville",-87.569458,38.021727,10,24,68.8897348296664,59.6305360160594,9.25919881360704,TRUE,3.84156003583142,14.6768375913827,0.00147087384460985,3.48237969774926
"103","181630021-01","Evansville",-87.577856,38.013248,10,11,56.2232019486912,52.9007516433403,3.32245030535093,FALSE,-4.35924373643357,11.0041443471354,0.361159099590098,0.953263153147751
"104","190450021-01","Clinton",-90.177574,41.874999,10,58,55.9840863510015,50.2189104999807,5.76517585102079,TRUE,3.30776037592413,8.22259132611745,1.25708309998843e-05,4.67227667872341
"105","190450021-02","Clinton",-90.177574,41.874999,10,18,56.3623388828401,47.2812465673558,9.08109231548431,TRUE,6.11834535959528,12.0438392713733,2.43201367374249e-07,6.19279494158661
"106","191130040-01","Cedar Rapids",-91.68766,41.97677,10,73,53.5820689056424,47.9806232369145,5.60144566872783,TRUE,3.39975731697497,7.80313402048068,1.78045093233828e-06,5.04040431490873
"107","191130040-02","Cedar Rapids",-91.68766,41.97677,10,27,50.9004254639438,46.7707273131238,4.12969815082005,TRUE,0.689770042853278,7.56962625878683,0.0197318017672608,2.41879510363359
"108","191370002-01","Not in a city",-95.044951,40.969112,10,70,48.5602289119879,45.5353232007109,3.024905711277,TRUE,0.554529107115155,5.49528231543885,0.0169144757069683,2.42949102211774
"109","191370002-02","Not in a city",-95.044951,40.969112,10,31,45.8383786654411,42.5043204481031,3.33405821733802,TRUE,0.322032405014851,6.34608402966119,0.0306798729447369,2.21821170701116
"110","191471002-01","Emmetsburg",-94.693518,43.123704,10,55,50.9888134699302,46.8893428986552,4.09947057127509,TRUE,1.34255212199598,6.8563890205542,0.00411394011810428,2.96440741927467
"111","191471002-02","Emmetsburg",-94.693518,43.123704,10,26,50.3663609429734,47.0378701924152,3.32849075055822,FALSE,-0.990888173795078,7.64786967491151,0.127938017977944,1.54834298265336
"112","191530030-01","Des Moines",-93.643118,41.603159,10,78,48.1912618853083,44.5170035462803,3.67425833902806,TRUE,1.67208250782994,5.67643417022619,0.000412661711198298,3.63337368776521
"113","191530030-02","Des Moines",-93.643118,41.603159,10,33,46.8722212063507,44.9413238933073,1.93089731304336,FALSE,-1.29584420180088,5.1576388278876,0.235891480885357,1.19763921650516
"114","191630015-01","Davenport",-90.587611,41.530011,10,53,54.8186202154323,48.0587678554855,6.75985235994686,TRUE,4.35467552090963,9.16502919898409,3.65863134467438e-07,5.60302316479027
"115","191630015-02","Davenport",-90.587611,41.530011,10,27,51.344310455255,46.4152436368898,4.92906681836519,TRUE,1.65384135054344,8.20429228618695,0.00382858069185026,3.01181123044612
"116","191770006-01","Not in a city",-92.006318,40.695078,10,48,50.4589312862452,49.3790240413257,1.07990724491945,FALSE,-2.06092653544961,4.22074102528851,0.494963100910475,0.686145505502714
"117","191770006-02","Not in a city",-92.006318,40.695078,10,20,50.0099244915208,45.5442905121783,4.46563397934256,FALSE,-1.3037729059764,10.2350408646615,0.123721475839118,1.5906019544472
"118","201950001-01","Not in a city",-99.763424,38.770081,10,25,58.2248851677963,58.9812612917457,-0.75637612394938,FALSE,-4.30336243696042,2.79061018906166,0.665143602939896,-0.437642233226406
"119","202090021-01","Kansas City",-94.635605,39.117219,10,67,55.1174972099666,52.8678420223051,2.24965518766147,FALSE,-0.866151761014047,5.365462136337,0.155258877349479,1.43128439014245
"120","210190017-01","Ashland",-82.64041,38.45934,10,44,54.2176237233449,53.4376879221388,0.779935801206086,FALSE,-3.29837793448529,4.85824953689747,0.702617527323945,0.38394567693992
"121","210290006-01","Shepherdsville",-85.71192,37.98629,10,11,63.0253445975292,56.2385801274111,6.78676447011805,TRUE,1.3302723619558,12.2432565782803,0.0188387177794845,2.70121469517358
"122","210373002-01","Highland Heights",-84.47445,39.021881,10,33,63.7384202715609,60.5099192358179,3.22850103574306,FALSE,-1.54107561787349,7.99807768935961,0.178964280597638,1.3678067717016
"123","210590005-01","Not in a city",-87.075307,37.780776,10,44,62.9649009760009,58.3783434757622,4.58655750023868,FALSE,-0.259401892465616,9.43251689294297,0.0630851452564467,1.89946742635001
"124","210610501-01","Not in a city",-86.142953,37.13179,10,17,62.2758495201722,56.0810880675279,6.19476145264436,TRUE,1.64339950133086,10.7461234039579,0.010348629045657,2.8545498132279
"125","210670012-01","Lexington-Fayette (corporate name for Lexington)",-84.49761,38.06503,10,45,59.9057806273094,56.3073522353781,3.59842839193134,TRUE,0.313303102489091,6.88355368137359,0.032361657853926,2.19277380251348
"126","210930006-01","Elizabethtown",-85.852629,37.705612,10,21,60.3216520807535,54.9185474440599,5.40310463669359,TRUE,1.94021584607478,8.8659934273124,0.00348668043711168,3.20142455401971
"127","211010014-01","Not in a city",-87.46375,37.8712,10,43,65.2125457466693,57.0008139475172,8.21173179915214,TRUE,5.02783815761444,11.3956254406898,2.82564971675678e-06,5.15622208871783
"128","211110067-01","Louisville",-85.65452,38.22876,10,10,72.4934224739177,61.6878796380124,10.8055428359052,TRUE,1.20646047480198,20.4046251970085,0.0309918019728401,2.50642685727619
"129","211170007-01","Covington",-84.525,39.0725,10,24,69.7825323659556,60.4242370888482,9.35829527710742,TRUE,4.27057954847324,14.4460110057416,0.000687977129458899,3.74016579344035
"130","211451024-01","Paducah",-88.57251,37.05822,10,43,59.945128170081,56.0646214509103,3.88050671917077,FALSE,-1.40659964948983,9.16761308783138,0.146446847694969,1.47677787708818
"131","211930003-01","Hazard",-83.20932,37.28329,10,22,55.2061600335225,50.0983081887732,5.10785184474924,TRUE,2.02422208478875,8.19148160470973,0.00206753516792761,3.39128588153949
"132","211950002-01","Pikeville",-82.53532,37.4826,10,32,53.2630875660659,50.9635972569677,2.29949030909816,FALSE,-3.35600434264441,7.95498496084073,0.414739630521934,0.825373118014756
"133","212218001-02","Not in a city",-87.851944,36.783889,10,10,62.5155879452274,54.2681826345452,8.24740531068217,TRUE,4.22147912909191,12.2733314922724,0.000857017256284869,4.49667587617799
"134","212270008-01","Oakland",-86.250628,37.035438,10,35,59.2650163726618,52.6039581918513,6.66105818081051,TRUE,3.38306968190288,9.93904667971815,0.000168091858322664,4.08744274684035
"135","212270009-01","Smiths Grove",-86.21487,37.04926,10,16,61.5926305298446,50.6229311597441,10.9696993701006,TRUE,5.38393662642209,16.555462113779,0.00047501433637572,4.05968320905627
"136","220150008-02","Shreveport",-93.74891,32.53626,10,43,59.7347618728836,50.0104659847241,9.72429588815952,TRUE,5.64575231857815,13.8028394577409,1.43350977237552e-05,4.78291058683266
"137","220190008-01","Westlake (RR name West Lake)",-93.284167,30.261667,10,43,49.7987453681455,33.8185781826082,15.9801671855373,TRUE,11.5494469427026,20.4108874283721,3.59111390081189e-09,7.25845429792743
"138","220330009-01","Baton Rouge",-91.17922,30.46198,10,15,49.0179059123189,42.8638284857222,6.15407742659667,FALSE,-7.49785889370939,19.8060137469027,0.350362377603711,0.965754414789508
"139","220330013-01","Not in a city",-91.056135,30.700921,10,19,51.10074650686,45.3790760273345,5.72167047952556,FALSE,-2.43993334448867,13.8832743035398,0.158383992575151,1.46981913698945
"140","220511001-02","Kenner",-90.275091,30.043573,10,43,56.1066267088538,44.8870677520855,11.2195589567683,TRUE,6.47278052814335,15.9663373853932,1.93819476770609e-05,4.75605083653503
"141","220570004-01","Thibodaux",-90.765183,29.763889,10,31,57.6913621565208,39.8803070155824,17.8110551409383,TRUE,10.8635138174883,24.7585964643883,1.05223173988397e-05,5.22294613385127
"142","220630002-01","Not in a city",-90.8125,30.3125,10,29,59.2304468973379,45.9621670741779,13.26827982316,TRUE,8.44826846840134,18.0882911779187,3.49097862383445e-06,5.6095251645542
"143","220710012-02","New Orleans",-90.102778,29.994444,10,26,52.6958795820285,41.4297829492133,11.2660966328152,TRUE,5.71055952176326,16.8216337438671,0.000275811029960879,4.15276645989276
"144","221030002-01","Not in a city",-90.199683,30.429304,10,35,56.7753052103918,45.014059287876,11.7612459225158,TRUE,6.10795546633769,17.4145363786939,0.000151655040781938,4.21318653187275
"145","230031100-01","Presque Isle",-68.033006,46.696431,10,34,39.9946178690191,35.3394285471585,4.65518932186059,TRUE,1.09624250444032,8.21413613928086,0.0115945457933563,2.63960158057881
"146","230050029-01","Portland",-70.268965,43.660246,10,20,51.0398760560542,43.5601939943359,7.47968206171831,TRUE,2.07214188236577,12.8872222410708,0.00880245958900359,2.85943720710192
"147","230090103-01","Not in a city",-68.2609,44.37705,10,13,57.0449151968336,43.0091600484048,14.0357551484288,TRUE,7.81014492975601,20.2613653671016,0.000287711121011419,4.85561601540164
"148","240053001-01","Essex",-76.474444,39.310833,10,12,72.3271082841482,62.8750743107735,9.45203397337467,FALSE,-2.09465747739399,20.9987254241433,0.0993515499729793,1.79394384236591
"149","240230002-01","Grantsville",-79.012,39.70595,10,11,65.0730692710979,58.5020456251091,6.57102364598879,FALSE,-2.25611164128624,15.3981589332638,0.129619320523305,1.63801497634869
